data,ano,mes,dia,fenomeno_climatico,precipitacao_mm,temperatura_c,umidade_percent,vento_kmh,pressao_hpa,estacao
2016-06-19,2016,6,19,El Niño Forte,85.2,28.3,70.7,12.4,1012.2,Transição
2016-06-20,2016,6,20,El Niño Forte,64.2,29.7,75.0,19.1,1004.4,Transição
2016-06-21,2016,6,21,El Niño Forte,52.4,28.8,68.3,18.9,1006.6,Transição
2016-06-22,2016,6,22,El Niño Forte,21.8,28.9,62.0,19.3,1009.1,Transição
2016-06-23,2016,6,23,El Niño Forte,74.5,30.3,68.7,14.5,1010.3,Transição
2016-06-24,2016,6,24,El Niño Forte,33.3,28.7,66.1,16.9,1007.4,Transição
2016-06-25,2016,6,25,El Niño Forte,77.1,29.8,61.2,14.9,1015.6,Transição
2016-06-26,2016,6,26,El Niño Forte,37.1,26.7,65.3,18.1,1009.0,Transição
2016-06-27,2016,6,27,El Niño Forte,69.3,28.9,67.9,12.2,1015.5,Transição
2016-06-28,2016,6,28,El Niño Forte,10.6,27.5,75.4,15.0,1015.4,Transição
2016-06-29,2016,6,29,El Niño Forte,28.2,28.6,78.8,13.4,1012.8,Transição
2016-06-30,2016,6,30,El Niño Forte,99.9,28.3,70.3,13.1,1011.3,Transição
2016-07-01,2016,7,1,El Niño Forte,26.1,29.4,61.3,12.1,1014.0,Seca
2016-07-02,2016,7,2,El Niño Forte,75.9,29.8,73.0,12.8,1008.2,Seca
2016-07-03,2016,7,3,El Niño Forte,34.2,29.7,70.3,32.0,1016.4,Seca
2016-07-04,2016,7,4,El Niño Forte,95.3,30.2,66.2,12.6,1010.2,Seca
2016-07-05,2016,7,5,El Niño Forte,32.5,28.2,66.9,14.7,1008.0,Seca
2016-07-06,2016,7,6,El Niño Forte,51.5,29.5,66.8,26.7,1014.7,Seca
2016-07-07,2016,7,7,El Niño Forte,49.8,28.0,70.0,13.2,1012.1,Seca
2016-07-08,2016,7,8,El Niño Forte,10.2,30.7,69.2,36.7,1017.4,Seca
2016-07-09,2016,7,9,El Niño Forte,59.4,29.8,67.3,11.4,1014.5,Seca
2016-07-10,2016,7,10,El Niño Forte,10.0,28.4,65.1,19.2,1014.2,Seca
2016-07-11,2016,7,11,El Niño Forte,87.4,28.7,67.3,16.1,1007.7,Seca
2016-07-12,2016,7,12,El Niño Forte,18.8,28.9,76.6,14.2,1006.9,Seca
2016-07-13,2016,7,13,El Niño Forte,56.1,30.3,65.2,36.2,1012.4,Seca
2016-07-14,2016,7,14,El Niño Forte,39.8,30.3,73.1,19.3,1012.0,Seca
2016-07-15,2016,7,15,El Niño Forte,66.0,28.8,71.5,21.7,1003.7,Seca
2016-07-16,2016,7,16,El Niño Forte,41.4,27.5,67.6,15.4,1012.6,Seca
2016-07-17,2016,7,17,El Niño Forte,57.2,29.7,66.9,12.2,1015.6,Seca
2016-07-18,2016,7,18,El Niño Forte,0.0,28.2,68.7,10.1,1015.1,Seca
2016-07-19,2016,7,19,El Niño Forte,30.3,28.7,62.2,8.6,1012.6,Seca
2016-07-20,2016,7,20,El Niño Forte,40.2,28.8,65.0,18.5,1013.2,Seca
2016-07-21,2016,7,21,El Niño Forte,16.4,29.0,63.6,12.6,1009.5,Seca
2016-07-22,2016,7,22,El Niño Forte,29.9,29.0,67.9,12.9,1012.3,Seca
2016-07-23,2016,7,23,El Niño Forte,18.7,28.9,68.3,18.8,1011.7,Seca
2016-07-24,2016,7,24,El Niño Forte,26.3,28.1,69.5,11.0,1012.2,Seca
2016-07-25,2016,7,25,El Niño Forte,28.1,28.5,69.0,23.0,1011.1,Seca
2016-07-26,2016,7,26,El Niño Forte,22.2,29.3,62.6,8.5,1010.7,Seca
2016-07-27,2016,7,27,El Niño Forte,106.5,31.1,68.1,12.9,1010.1,Seca
2016-07-28,2016,7,28,El Niño Forte,19.5,28.5,65.6,12.2,1007.7,Seca
2016-07-29,2016,7,29,El Niño Forte,27.1,27.8,72.4,15.6,1009.1,Seca
2016-07-30,2016,7,30,El Niño Forte,23.2,30.2,68.6,10.8,1013.1,Seca
2016-07-31,2016,7,31,El Niño Forte,65.0,30.4,68.3,20.9,1014.9,Seca
2016-08-01,2016,8,1,El Niño Forte,18.8,28.9,63.2,18.3,1009.8,Seca
2016-08-02,2016,8,2,El Niño Forte,16.8,30.6,67.6,18.4,1015.4,Seca
2016-08-03,2016,8,3,El Niño Forte,34.2,30.2,73.9,36.6,1009.6,Seca
2016-08-04,2016,8,4,El Niño Forte,23.7,30.5,63.0,23.0,1011.5,Seca
2016-08-05,2016,8,5,El Niño Forte,49.0,29.3,63.0,13.8,1010.3,Seca
2016-08-06,2016,8,6,El Niño Forte,29.0,29.0,74.1,26.0,1011.7,Seca
2016-08-07,2016,8,7,El Niño Forte,21.8,29.6,62.1,23.3,1010.8,Seca
2016-08-08,2016,8,8,El Niño Forte,30.9,28.1,68.6,29.8,1015.1,Seca
2016-08-09,2016,8,9,El Niño Forte,8.2,29.7,71.2,22.8,1012.8,Seca
2016-08-10,2016,8,10,El Niño Forte,21.0,28.4,73.5,15.4,1012.8,Seca
2016-08-11,2016,8,11,El Niño Forte,7.2,29.2,69.7,17.0,1010.7,Seca
2016-08-12,2016,8,12,El Niño Forte,32.7,29.9,63.3,22.6,1014.0,Seca
2016-08-13,2016,8,13,El Niño Forte,14.6,31.0,66.9,14.4,1006.3,Seca
2016-08-14,2016,8,14,El Niño Forte,0.0,28.3,72.8,27.6,1014.2,Seca
2016-08-15,2016,8,15,El Niño Forte,9.0,30.3,63.4,17.2,1012.8,Seca
2016-08-16,2016,8,16,El Niño Forte,24.7,30.2,54.5,19.8,1016.4,Seca
2016-08-17,2016,8,17,El Niño Forte,9.0,30.2,76.1,24.3,1009.0,Seca
2016-08-18,2016,8,18,El Niño Forte,21.7,28.5,78.9,15.2,1016.4,Seca
2016-08-19,2016,8,19,El Niño Forte,14.7,29.5,64.3,11.1,1011.3,Seca
2016-08-20,2016,8,20,El Niño Forte,0.0,30.0,68.4,10.8,1015.3,Seca
2016-08-21,2016,8,21,El Niño Forte,0.0,29.4,67.2,19.8,1009.3,Seca
2016-08-22,2016,8,22,El Niño Forte,29.9,29.3,77.5,15.7,1010.8,Seca
2016-08-23,2016,8,23,El Niño Forte,0.0,27.9,69.3,18.8,1014.8,Seca
2016-08-24,2016,8,24,El Niño Forte,3.4,29.4,76.1,21.2,1009.5,Seca
2016-08-25,2016,8,25,El Niño Forte,0.0,28.4,67.3,16.4,1013.5,Seca
2016-08-26,2016,8,26,El Niño Forte,0.0,30.6,67.5,16.1,1012.6,Seca
2016-08-27,2016,8,27,El Niño Forte,17.1,29.6,62.3,16.5,1006.9,Seca
2016-08-28,2016,8,28,El Niño Forte,1.8,29.4,68.8,11.9,1014.6,Seca
2016-08-29,2016,8,29,El Niño Forte,26.0,30.9,62.0,21.4,1011.2,Seca
2016-08-30,2016,8,30,El Niño Forte,39.8,29.5,67.3,20.7,1006.5,Seca
2016-08-31,2016,8,31,El Niño Forte,43.3,30.3,62.5,14.2,1009.1,Seca
2016-09-01,2016,9,1,El Niño Forte,20.3,30.4,65.2,15.0,1015.3,Seca
2016-09-02,2016,9,2,El Niño Forte,0.0,28.6,67.9,17.5,1011.9,Seca
2016-09-03,2016,9,3,El Niño Forte,8.8,29.1,65.8,15.5,1008.7,Seca
2016-09-04,2016,9,4,El Niño Forte,2.3,30.5,70.8,14.6,1011.7,Seca
2016-09-05,2016,9,5,El Niño Forte,22.1,29.4,67.5,18.4,1013.6,Seca
2016-09-06,2016,9,6,El Niño Forte,21.0,31.1,71.2,18.7,1008.8,Seca
2016-09-07,2016,9,7,El Niño Forte,1.3,28.7,58.1,20.3,1011.5,Seca
2016-09-08,2016,9,8,El Niño Forte,0.0,28.8,73.5,29.9,1010.7,Seca
2016-09-09,2016,9,9,El Niño Forte,33.0,27.7,69.3,18.5,1010.9,Seca
2016-09-10,2016,9,10,El Niño Forte,16.0,28.8,69.9,15.9,1012.8,Seca
2016-09-11,2016,9,11,El Niño Forte,3.9,28.5,65.0,24.8,1020.1,Seca
2016-09-12,2016,9,12,El Niño Forte,5.1,29.4,70.6,19.6,1015.5,Seca
2016-09-13,2016,9,13,El Niño Forte,12.9,26.5,71.3,17.0,1017.9,Seca
2016-09-14,2016,9,14,El Niño Forte,0.0,29.5,63.1,11.0,1009.3,Seca
2016-09-15,2016,9,15,El Niño Forte,15.1,29.6,71.6,18.8,1013.3,Seca
2016-09-16,2016,9,16,El Niño Forte,18.2,29.7,69.8,22.5,1009.5,Seca
2016-09-17,2016,9,17,El Niño Forte,0.0,29.0,64.0,14.6,1012.1,Seca
2016-09-18,2016,9,18,El Niño Forte,11.0,28.4,71.3,21.5,1011.5,Seca
2016-09-19,2016,9,19,El Niño Forte,0.0,28.3,72.1,15.1,1007.4,Seca
2016-09-20,2016,9,20,El Niño Forte,7.1,29.3,74.8,11.1,1012.0,Seca
2016-09-21,2016,9,21,El Niño Forte,35.1,30.2,69.0,13.8,1014.5,Seca
2016-09-22,2016,9,22,El Niño Forte,23.0,31.6,70.0,13.8,1006.5,Seca
2016-09-23,2016,9,23,El Niño Forte,0.8,29.2,63.9,22.8,1010.1,Seca
2016-09-24,2016,9,24,El Niño Forte,3.3,29.2,72.1,12.5,1011.2,Seca
2016-09-25,2016,9,25,El Niño Forte,0.0,29.9,69.3,17.0,1011.3,Seca
2016-09-26,2016,9,26,El Niño Forte,15.2,28.6,55.8,15.4,1013.6,Seca
2016-09-27,2016,9,27,El Niño Forte,4.5,29.3,64.9,14.5,1010.7,Seca
2016-09-28,2016,9,28,El Niño Forte,7.9,29.6,60.8,9.2,1007.8,Seca
2016-09-29,2016,9,29,El Niño Forte,0.0,30.4,69.6,17.6,1010.9,Seca
2016-09-30,2016,9,30,El Niño Forte,33.9,28.1,60.2,20.7,1015.8,Seca
2016-10-01,2016,10,1,El Niño Forte,11.2,30.4,63.5,19.6,1009.4,Seca
2016-10-02,2016,10,2,El Niño Forte,4.1,28.0,71.7,13.7,1007.4,Seca
2016-10-03,2016,10,3,El Niño Forte,2.3,28.0,55.2,15.1,1011.8,Seca
2016-10-04,2016,10,4,El Niño Forte,14.6,29.4,62.1,22.8,1012.4,Seca
2016-10-05,2016,10,5,El Niño Forte,46.7,29.4,66.2,13.5,1014.9,Seca
2016-10-06,2016,10,6,El Niño Forte,0.0,27.6,68.8,16.3,1014.0,Seca
2016-10-07,2016,10,7,El Niño Forte,4.3,28.2,67.5,10.3,1009.9,Seca
2016-10-08,2016,10,8,El Niño Forte,14.0,29.1,61.7,13.3,1013.0,Seca
2016-10-09,2016,10,9,El Niño Forte,0.0,29.1,70.5,23.0,1008.5,Seca
2016-10-10,2016,10,10,El Niño Forte,22.9,29.3,72.9,15.6,1008.7,Seca
2016-10-11,2016,10,11,El Niño Forte,0.0,29.1,78.1,16.0,1014.5,Seca
2016-10-12,2016,10,12,El Niño Forte,0.0,30.3,60.9,14.8,1013.3,Seca
2016-10-13,2016,10,13,El Niño Forte,0.0,29.3,78.1,11.0,1012.5,Seca
